step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
215,2.972,2,1.711,3,0.975,2,17,0.285,0.226,0.554,0.043,0.042,0.053,0.596
216,2.734,2,1.562,3,0.894,2,16,0.279,0.191,0.495,0.036,0.040,0.047,0.534
217,2.911,2,1.547,3,0.967,2,17,0.397,0.193,0.562,0.034,0.044,0.050,0.603
218,4.840,4,2.601,5,1.806,4,31,0.433,0.393,0.991,0.072,0.077,0.091,1.063
219,3.013,2,1.580,3,1.077,2,18,0.356,0.191,0.685,0.040,0.048,0.054,0.731
220,2.748,2,1.509,3,0.967,2,19,0.272,0.192,0.568,0.041,0.048,0.056,0.612
221,3.840,3,1.995,4,1.486,3,30,0.358,0.288,0.887,0.051,0.079,0.088,0.961
222,4.108,3,2.118,4,1.629,3,28,0.360,0.290,1.027,0.052,0.073,0.085,1.096
223,2.727,2,1.536,3,0.902,2,17,0.288,0.187,0.501,0.033,0.043,0.049,0.542
224,4.107,3,2.025,4,1.688,3,27,0.395,0.418,0.998,0.097,0.071,0.081,1.063
225,2.823,2,1.627,3,0.898,2,16,0.298,0.182,0.502,0.037,0.042,0.048,0.539
226,9.907,9,5.404,11,3.609,9,53,0.894,0.884,1.869,0.174,0.135,0.154,1.994
227,3.994,3,2.283,4,1.327,3,20,0.384,0.279,0.731,0.053,0.051,0.061,0.780
228,3.838,3,2.051,4,1.428,3,23,0.359,0.300,0.817,0.061,0.059,0.071,0.876
229,6.848,6,3.715,7,2.550,6,33,0.582,0.629,1.276,0.109,0.085,0.099,1.354
230,4.978,4,2.482,5,2.078,4,34,0.418,0.537,1.273,0.071,0.088,0.101,1.357
231,3.895,3,2.162,4,1.394,3,24,0.339,0.310,0.767,0.057,0.063,0.069,0.826
232,2.770,2,1.606,3,0.895,2,16,0.268,0.187,0.493,0.040,0.041,0.048,0.532
233,3.789,3,2.043,4,1.378,3,25,0.368,0.309,0.774,0.062,0.064,0.071,0.832
234,3.919,3,2.083,4,1.442,3,24,0.393,0.270,0.758,0.053,0.061,0.071,0.816
235,3.800,3,2.077,4,1.375,3,25,0.349,0.305,0.767,0.055,0.065,0.072,0.827
236,2.769,2,1.528,3,0.965,2,19,0.275,0.196,0.572,0.035,0.047,0.056,0.618
237,2.905,2,1.691,3,0.948,2,15,0.266,0.189,0.561,0.050,0.037,0.045,0.599
238,2.800,2,1.532,3,1.000,2,18,0.268,0.200,0.597,0.035,0.047,0.052,0.641
239,3.890,3,2.057,4,1.490,3,24,0.344,0.287,0.893,0.052,0.069,0.070,0.958
240,2.838,2,1.617,3,0.935,2,19,0.286,0.182,0.557,0.034,0.048,0.057,0.603
241,95.836,84,60.440,161,21.732,84,0,13.664,6.086,7.610,1.490,0.148,0.235,7.791
242,97.999,84,62.444,176,21.233,84,0,14.322,5.612,7.242,1.486,0.148,0.232,7.438
243,97.148,84,61.830,172,20.863,84,0,14.455,5.815,7.532,1.407,0.150,0.238,7.711
244,99.859,84,63.517,179,21.191,84,0,15.152,5.871,7.625,1.485,0.154,0.241,7.797
245,99.315,84,63.738,181,20.527,84,0,15.050,5.406,7.101,1.504,0.150,0.239,7.277
246,99.002,84,63.388,177,21.258,84,0,14.356,5.792,7.545,1.486,0.151,0.239,7.725
247,102.788,84,65.564,190,21.703,84,0,15.521,5.864,7.527,1.443,0.148,0.238,7.754
