step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
233,0.107,3,0.047,4,0.052,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
234,0.094,3,0.041,4,0.046,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
235,0.103,3,0.046,4,0.051,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
236,0.111,3,0.047,4,0.052,3,3,0.013,0.000,0.000,0.000,0.000,0.000,0.000
237,0.104,3,0.048,4,0.049,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
238,0.100,3,0.043,4,0.052,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
239,0.111,3,0.049,4,0.054,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
240,0.112,3,0.046,4,0.055,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
241,0.102,3,0.046,4,0.049,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
242,0.111,3,0.050,4,0.055,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
243,0.110,3,0.051,4,0.050,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
244,0.108,3,0.050,4,0.052,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
245,0.117,3,0.057,4,0.053,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
246,0.104,3,0.046,4,0.052,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
247,0.101,3,0.044,4,0.049,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
248,0.097,3,0.043,4,0.047,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
249,0.097,3,0.042,4,0.047,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
250,0.108,3,0.049,4,0.050,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
251,0.099,3,0.045,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
252,0.100,3,0.045,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
253,0.102,3,0.044,4,0.053,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
254,0.105,3,0.046,4,0.052,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
255,0.104,3,0.044,4,0.051,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
256,0.112,3,0.045,4,0.059,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
257,0.106,3,0.051,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
258,0.108,3,0.045,4,0.053,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
259,0.117,3,0.052,4,0.057,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
260,0.111,3,0.053,4,0.050,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
261,0.103,3,0.045,4,0.052,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
262,0.106,3,0.047,4,0.052,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
263,0.098,3,0.042,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
264,0.106,3,0.052,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
265,0.106,3,0.048,4,0.050,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
266,0.104,3,0.043,4,0.053,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
267,0.111,3,0.046,4,0.057,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
268,0.107,3,0.046,4,0.054,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
